,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,City ID
86,new norfolk,-89.84469156535295,120.9552204002735,55.4,50,75,16.11,2155415
87,zyryanka,67.20484142505273,150.0740895444162,-8.43,65,48,3.02,2119283
89,hargeysa,9.950165931482857,44.28891368287853,54.53,99,36,3.8,57289
91,doha,29.465693009212316,46.33779310741511,77.0,83,0,1.12,290030
92,mangrol,15.10258783931117,64.10050043048659,63.58,48,0,3.02,1263751
93,strezhevoy,61.1592108771722,79.23511335726414,17.6,85,90,8.95,1490796
94,ponta do sol,21.782278273830926,-36.877025834556264,63.62,100,100,3.91,3453439
95,arraial do cabo,-32.176902281883685,-36.57166363606811,69.52,100,92,13.09,3471451
96,belyy yar,61.607531048900626,83.91522038257659,35.6,69,0,13.42,1510377
97,provideniya,48.34146019546921,-177.9566035658379,30.2,86,90,6.71,4031574
98,welver,51.584297393701206,8.017635644488962,51.75,76,44,10.29,2811361
99,denpasar,-9.3400183809009,115.50818204389662,86.0,79,20,10.29,1645528
100,upernavik,86.96865025087607,-51.80279236582666,17.77,100,32,8.84,3418910
101,elko,39.86104668953442,-115.44012870276543,33.98,36,1,3.36,5703670
102,lyuban,53.46546175409918,28.9641884475692,31.22,88,0,7.27,625721
103,atambua,-6.624952003025456,126.69037683172797,85.58,90,8,4.81,1651103
104,great falls,47.34674634241355,-111.890066980443,8.35,90,75,8.05,5655240
105,sisimiut,65.917871354109,-56.88729676330523,0.35,100,44,1.9,3419842
106,filadelfia,-22.273535602662477,-60.270538033047586,74.92,79,20,10.96,3867291
107,san patricio,1.3691196231687286,-113.24904299013716,74.56,63,0,6.6,3437029
108,conde,-12.77667590213251,-35.252285423840476,76.9,92,92,9.4,3465713
109,chuy,-65.98495348048789,-22.90875654523319,59.44,83,0,12.41,3443061
110,pestyaki,56.743648523034466,42.774737147258634,34.06,93,56,7.72,510323
111,iqaluit,63.747730553967955,-68.53704296186498,23.0,67,90,12.75,5983720
113,norman wells,85.01763379043209,-116.85700746798935,1.4,84,20,4.7,6089245
114,bethel,45.57755739990225,-165.38394004501367,32.0,100,90,6.15,5880568
115,talnakh,71.73638670773542,94.18317731298998,-13.38,80,24,8.61,1490256
116,muros,42.11939718033963,-12.106586736970542,46.4,81,75,9.17,3115824
117,perth,-31.584642007075203,115.8038333308744,42.03,100,0,8.05,2640358
120,puksoozero,62.02113455428568,41.226600717118345,34.15,98,80,6.6,504187
121,makakilo city,5.545409792461214,-165.90528808772578,79.52,64,20,4.7,5850554
123,tianpeng,31.431746117180268,103.65475592076473,54.35,100,0,5.59,1797543
124,torbay,40.538099136488086,-46.936939027810894,46.4,93,75,16.11,6167817
125,carlagan,15.502405787585175,122.30615074191627,81.31,97,76,20.58,1718367
126,bandarbeyla,7.583938389257355,53.25653348232032,81.22,100,80,13.31,64814
127,olinda,-8.200688918925863,-32.059981946210655,73.4,83,0,14.99,3650121
128,vincennes,38.62913969149005,-87.38273781689345,40.15,73,1,9.17,4266307
130,longyearbyen,85.62932096841956,21.21439580057975,30.2,68,75,3.36,2729907
132,tikapur,28.93655302497457,81.43907706478933,62.9,56,0,2.91,1282666
133,caxito,-9.691177554364344,14.237664120944032,67.45,100,92,6.6,3451261
134,bathsheba,16.262006429400913,-51.65354983324744,80.6,83,40,18.34,3374083
135,sao sepe,-30.1230455252122,-53.40916822402224,65.78,71,0,18.79,3448207
136,ayan,58.25390841611855,136.78666634637972,22.09,73,0,1.23,749747
137,merke,42.63316692152421,73.05997314881762,22.27,89,88,1.57,1520969
138,arsk,56.26569260269957,49.91159983438655,35.6,93,90,11.18,580850
140,yumen,34.10052123138635,95.97885143308417,33.88,47,80,6.93,1528998
141,mogok,23.303625027796386,97.0177253634277,72.22,77,0,2.13,1308937
142,gamba,-7.787644593310105,3.1847810249451527,11.87,52,0,1.12,1281256
143,port-gentil,-1.1577357640474162,3.195824576318927,79.42,97,88,6.82,2396518
144,siirt,37.883392988971565,41.93764545824516,42.2,95,36,3.24,300822
145,rapar,24.076126402610797,70.92458780359016,66.73,36,0,2.8,1258406
146,sao joao da barra,-32.55055035407988,-25.23175399136997,73.12,100,92,9.95,3448903
147,hobart,-65.8524440720953,140.14640627303498,55.4,50,75,16.11,2163355
148,lewiston,45.6201181395416,-116.8997401313664,38.05,55,1,4.7,5598538
149,butaritari,16.056701067485875,162.10780713318388,85.45,100,64,12.64,2110227
150,avarua,-74.97270846296851,-166.2122344238678,78.8,74,75,11.41,4035715
151,katherine,-15.96035332322424,130.90331575966178,98.6,32,0,5.82,2068655
